,Scientific,English,ISSCAAP,TL,seTL
1367,Tridacna derasa,Smooth giant clam,56,2.1,0.13
1368,Tridacna gigas,Giant clam,56,2.1,0.13
1369,Tridacna squamosa,Fluted giant clam,56,2.1,0.13
1370,Trigla lyra,Piper gurnard,33,3.5,0.26
1371,Trigla spp,Gurnards,33,3.5,0.26
1372,Triglidae,"Gurnards, searobins nei",33,3.5,0.26
1373,Trisopterus esmarkii,Norway pout,32,3.6,0.49
1374,Trisopterus luscus,Pouting(=Bib),32,3.8,0.25
1375,Trisopterus minutus,Poor cod,32,3.8,0.25
1376,Tubipora musica,Organpipe coral,82,2.3,0.61
1377,Turbo cornutus,Horned turban,52,2.1,0.13
1378,Turbo sarmaticus,Giant periwinkle,52,2.1,0.13
1379,Tursiops truncatus,Bottlenose dolphin,62,4.2,0.24
1380,Tylosurus acus melanotus,Agujon needlefish,34,3.2,0.43
1381,Tylosurus spp,Needlefishes,34,3.2,0.43
1382,Umbrina canariensis,Canary drum (=Baardman),33,3.4,0.06
1383,Umbrina canosai,Argentine croaker,33,3.4,0.06
1384,Umbrina cirrosa,Shi drum,33,3.4,0.06
1385,Umbrina spp,Drums nei,33,3.4,0.06
1386,Undaria pinnatifida,Wakame,91,1,0
1387,Undaria spp,Wakame nei,91,1,0
1388,Upeneus spp,Goatfishes,33,3.2,0.46
1389,Urophycis brasiliensis,Brazilian codling,32,3.8,0.25
1390,Urophycis chuss,Red hake,32,3.8,0.25
1391,Urophycis tenuis,White hake,32,3.8,0.25
1392,Veneridae,Venus clams,56,2.1,0.13
1393,Venus(=Chamelea) gallina,Striped venus,56,2.1,0.13
1394,Xiphias gladius,Swordfish,36,4.2,0.21
1395,Xiphiidae,Swordfishes,36,4.2,0.21
1396,Xiphopenaeus kroyeri,Atlantic seabob,45,2.7,0.35
1397,Xiphopenaeus riveti,Pacific seabob,45,2.7,0.35
1398,"Xiphopenaeus,Trachypenaeus spp",Pacific seabobs,45,2.3,0.24
1399,Zeidae,"Dories, nei",33,3.5,0.26
1400,Zenopsis conchifer,Silvery John dory,33,3.5,0.26
1401,Zeus faber,John dory,33,3.5,0.26
1402,Zeus japonicus,Japanese John dory,33,3.5,0.26
1403,Zoarces viviparus,Eelpout,33,3.4,0.06
